playerID,yearID,stint,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
aceveal01,7.0,7.0,31.0,16.0,204.0,15.0,0.0,0.0,29.0,1141.0,333.0,162.0,48.0,129.0,282.0,0.23500352858151025,3.8334794040315514,6.0,5.0,28.0,6.0,1599.0,91.0,172.0,6.0,13.0,1.0,,,0.0,,0.0,N,Player,
acevejo01,5.0,5.0,18.0,25.0,104.0,59.0,1.0,0.0,1.0,1105.0,420.0,235.0,71.0,113.0,253.0,0.2880658436213992,5.742081447963801,14.0,9.0,12.0,2.0,1628.0,11.0,246.0,14.0,17.0,0.0,,,0.0,,0.0,N,Player,
aceveju01,10.0,10.0,28.0,40.0,367.0,34.0,0.0,0.0,53.0,1710.0,597.0,274.0,72.0,226.0,350.0,0.27423059255856685,4.326315789473684,34.0,20.0,28.0,4.0,2488.0,165.0,316.0,11.0,12.0,0.0,,,0.0,,0.0,N,Player,
achteaj01,2.0,2.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,73.0,26.0,14.0,6.0,9.0,19.0,0.26804123711340205,5.178082191780822,1.0,0.0,0.0,0.0,107.0,5.0,17.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
ackerji01,12.0,12.0,33.0,49.0,467.0,32.0,0.0,0.0,30.0,2713.0,918.0,399.0,82.0,329.0,482.0,0.2647822324776464,3.9708809436048655,40.0,31.0,32.0,2.0,3868.0,159.0,447.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
ackerto01,4.0,4.0,19.0,13.0,153.0,23.0,5.0,1.0,8.0,1141.0,365.0,174.0,43.0,150.0,256.0,0.25312066574202496,4.117440841367221,20.0,6.0,17.0,0.0,1629.0,35.0,181.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
acklefr01,2.0,2.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,58.0,17.0,9.0,4.0,11.0,17.0,0.2328767123287671,4.189655172413793,0.0,1.0,0.0,0.0,84.0,1.0,10.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
acostcy01,4.0,4.0,13.0,9.0,107.0,0.0,0.0,0.0,27.0,558.0,143.0,55.0,15.0,77.0,109.0,0.21311475409836064,2.661290322580645,8.0,4.0,12.0,1.0,768.0,74.0,65.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
acosted01,3.0,3.0,6.0,9.0,57.0,8.0,3.0,1.0,1.0,413.0,153.0,62.0,12.0,39.0,70.0,0.281767955801105,4.053268765133172,8.0,6.0,4.0,2.0,594.0,22.0,71.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
acostjo01,3.0,3.0,10.0,10.0,55.0,13.0,6.0,1.0,4.0,640.0,265.0,107.0,9.0,68.0,45.0,0.3046677397102782,4.5140625000000005,1.1999999999999997,4.0,0.0,0.0,939.0,28.0,119.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
acostma01,6.0,6.0,13.0,13.0,233.0,0.0,0.0,0.0,9.0,744.0,234.0,110.0,30.0,117.0,219.0,0.254071661237785,3.9919354838709675,10.0,14.0,8.0,0.0,1070.0,78.0,122.0,9.0,5.0,0.0,,,0.0,,0.0,N,Player,
acrema01,4.0,4.0,9.0,6.0,114.0,0.0,0.0,0.0,2.0,381.0,135.0,73.0,16.0,68.0,98.0,0.27,5.1732283464566935,9.0,3.0,5.0,1.0,582.0,32.0,75.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
adamsac01,6.0,6.0,41.0,33.0,302.0,7.0,2.0,0.0,49.0,1658.0,541.0,213.0,26.0,224.0,171.0,0.25349076937494147,3.468636911942099,12.799999999999999,15.0,8.0,0.0,2379.0,218.0,247.0,0.0,0.0,0.0,,,0.0,,0.0,N,Player,
